,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
48,2019-08-16,1792.57,1792.89,1802.91,1784.55,3050000.0,8,2019,1774.8998806011116,1793.23,-0.012967204810254818,Slight or No change
49,2019-08-15,1776.12,1781.99,1788.0,1761.96,3810000.0,8,2019,1774.9309669653605,1777.0175,-0.009176768550182124,Slight or No change
50,2019-08-14,1762.96,1793.01,1795.65,1757.21,4890000.0,8,2019,1774.5519083079712,1777.2075000000002,-0.0074094092741480155,Slight or No change
51,2019-08-13,1824.34,1783.0,1831.74,1780.0,4080000.0,8,2019,1775.833438899754,1804.77,0.03481644506965553,Slight or No change
52,2019-08-12,1784.92,1795.99,1800.98,1777.0,2910000.0,8,2019,1775.9972469334655,1789.7224999999999,-0.021607814332854525,Slight or No change
53,2019-08-09,1807.58,1828.95,1831.09,1802.22,2880000.0,8,2019,1776.5508581862446,1817.46,0.012695246845797037,Slight or No change
54,2019-08-08,1832.89,1806.0,1834.26,1798.11,3700000.0,8,2019,1777.7916607142856,1817.815,0.01400214651633691,Slight or No change
55,2019-08-07,1793.4,1773.99,1798.93,1757.0,4530000.0,8,2019,1778.2014780038255,1780.8300000000002,-0.021545210023514727,Slight or No change
56,2019-08-06,1787.83,1792.23,1793.77,1753.4,5070000.0,8,2019,1778.4763462837839,1781.8075,-0.003105832496933303,Slight or No change
57,2019-08-05,1765.13,1770.22,1788.67,1748.78,6060000.0,8,2019,1778.0359735380594,1768.2,-0.012696956645765978,Slight or No change
58,2019-08-02,1823.24,1845.07,1846.36,1808.02,4960000.0,8,2019,1779.2246702364544,1830.6725000000001,0.03292108796519222,Slight or No change
59,2019-08-01,1855.32,1871.72,1897.92,1844.01,4710000.0,8,2019,1781.0785418714115,1867.2425,0.017595050569316095,Slight or No change
60,2019-07-31,1866.78,1898.11,1899.55,1849.44,4470000.0,7,2019,1783.0152735085946,1878.4699999999998,0.00617683202897612,Slight or No change
61,2019-07-30,1898.53,1891.12,1909.89,1883.48,2910000.0,7,2019,1784.6900672612226,1895.755,0.017007895949174623,Slight or No change
62,2019-07-29,1912.45,1930.0,1932.23,1890.54,4490000.0,7,2019,1787.4855940545808,1916.305,0.007331988433156189,Slight or No change
63,2019-07-26,1943.05,1942.0,1950.89,1924.51,4930000.0,7,2019,1791.1353942797316,1940.1125000000002,0.016000418311589826,Slight or No change
64,2019-07-25,1973.82,2001.0,2001.2,1972.72,4139999.9999999995,7,2019,1794.6651197087785,1987.185,0.015835928051259662,Slight or No change
65,2019-07-24,2000.81,1969.3,2001.3,1965.87,2630000.0,7,2019,1797.1647095435685,1984.32,0.01367399256264501,Slight or No change
66,2019-07-23,1994.49,1995.99,1997.79,1973.13,2700000.0,7,2019,1799.5908401639344,1990.3500000000001,-0.003158720718109187,Slight or No change
67,2019-07-22,1985.63,1971.14,1989.0,1958.26,2910000.0,7,2019,1802.0238721855198,1976.0075000000002,-0.004442238366700213,Slight or No change
68,2019-07-19,1964.52,1991.21,1996.0,1962.23,3190000.0,7,2019,1804.3205609215772,1978.4899999999998,-0.010631386512089391,Slight or No change
69,2019-07-18,1977.9,1980.01,1987.5,1951.55,3500000.0,7,2019,1806.9712068062827,1974.24,0.006810824018080863,Slight or No change
70,2019-07-17,1992.03,2007.05,2012.0,1992.03,2560000.0,7,2019,1809.0153494994822,2000.7775,0.007143940543000049,Slight or No change
71,2019-07-16,2009.9,2010.58,2026.32,2001.22,2620000.0,7,2019,1811.260924140285,2012.005,0.008970748432503672,Slight or No change
